threshold,overall_em,overall_f1,answerable_em,answerable_f1,unanswerable_accuracy,predicted_no_answer_rate,answerable_predicted_empty_rate,false_positive_rate,false_negative_rate,balanced_score,reader_priority_score
-5.21782,9.124278972207655,35.451520689630016,0.9046362608367885,38.75314734649412,25.58139534883721,22.076560041950707,20.542781756502073,74.4186046511628,20.542781756502073,32.16727134766566,34.801621747197046
-5.0,9.648662821185107,35.512943231134365,0.9046362608367885,38.08758593424292,27.39018087855297,23.807026743576298,22.238974745571053,72.60981912144703,22.238974745571053,32.738883406397946,34.878364417535934
-4.95651,9.805977975878342,35.647784792299994,0.9046362608367885,38.055277496355885,27.906976744186046,24.069218668065023,22.389747455710516,72.09302325581396,22.389747455710516,32.98112712027097,35.01078727070493
-4.714269,10.540115364446775,35.76112762373043,0.9046362608367885,37.16281219634673,30.5770887166236,26.06187729417934,24.085940444779496,69.42291128337641,24.085940444779496,33.869950456485164,35.18709515242979
-4.5,10.933403251179863,35.7337925165211,0.8669430833019224,36.520423919340935,32.12747631352283,27.713686418458312,25.782133433848472,67.87252368647717,25.782133433848472,34.32395011643188,35.2025396375955
-4.474048,11.038280020975353,35.75418364022274,0.8669430833019224,36.398965851417096,32.47200689061154,28.054535920293656,26.12137203166227,67.52799310938846,26.12137203166227,34.43548637101432,35.22087816317543
-4.250124,11.667540639748296,35.972295785255795,0.7915567282321899,35.732505135682466,34.883720930232556,30.073413738856843,27.96833773087071,65.11627906976744,27.96833773087071,35.30811303295751,35.47786987404749
-4.012082,12.11326691137913,35.82002923403266,0.7915567282321899,34.87282001454977,36.434108527131784,32.066072364971156,30.15454202789295,63.565891472868216,30.15454202789295,35.65346427084077,35.34120656832437
-4.0,12.139486103828002,35.80841193198162,0.7915567282321899,34.818425596900816,36.52024117140396,32.19716832721552,30.305314738032415,63.47975882859604,30.305314738032415,35.66933338415239,35.328970269251755
-3.801599,12.92606187729418,36.251260158026184,0.7915567282321899,34.32427675940892,39.10422049956934,34.058730991085476,31.85073501696193,60.89577950043066,31.85073501696193,36.71424862948913,35.75825988145704
-3.625971,13.502884111169376,36.146702124089934,0.7915567282321899,33.34471236384434,41.08527131782946,36.05138961719979,33.84847342630984,58.91472868217054,33.84847342630984,37.2149918408369,35.66688005003987
-3.5,13.869952805453591,36.24918995943013,0.7915567282321899,32.964346213820775,42.377260981912144,37.12637650760357,34.82849604221636,57.622739018087856,34.82849604221636,37.67080359786646,35.788220644248184
-3.401754,14.079706345044572,36.166342692852716,0.7538635506973238,32.50600491162467,43.238587424633934,38.04404824331411,35.770825480588016,56.761412575366066,35.770825480588016,37.8722961681293,35.72577966552745
-3.192389,14.630309386470897,36.05814792846652,0.7538635506973238,31.558905465198375,45.13350559862188,40.06292606187729,37.84395024500565,54.86649440137812,37.84395024500565,38.34620553191013,35.63128550522543
-3.0,15.07603565810173,35.98801997442326,0.7538635506973238,30.817304252714024,46.597760551248925,41.74095437860514,39.615529589144366,53.402239448751075,39.615529589144366,38.707532401981474,35.55144114227449
-2.963958,15.154693235448349,35.97511846702778,0.7538635506973238,30.685677283544646,46.85615848406546,42.05558468799161,39.95476818695816,53.14384151593454,39.95476818695816,38.770917883805055,35.53682164370089
-2.744883,15.705296276874673,35.89252950882394,0.7538635506973238,29.775389199643612,48.66494401378122,44.048243314105925,42.027892951375804,51.33505598621878,42.027892951375804,39.22016660671242,35.44225564388489
-2.5,16.229680125852123,35.89307770757093,0.7538635506973238,29.02231374921807,50.47372954349699,45.83114840062926,43.79947229551451,49.52627045650301,43.79947229551451,39.74802164635753,35.45773848750174
-2.488476,16.255899318300997,35.84007985626196,0.7538635506973238,28.908429917747124,50.55986218776916,46.040901940220245,44.06332453825858,49.44013781223084,44.06332453825858,39.73414605275814,35.40385959875373
-2.293121,16.80650235972732,35.74108987214799,0.7538635506973238,27.974563427204078,52.368647717484926,48.03356056633456,46.13644930267622,47.631352282515074,46.13644930267622,40.171605572344504,35.292788714288335
-2.097566,17.540639748295753,35.983018912207726,0.7538635506973238,27.26695594842076,54.86649440137812,50.02621919244887,47.90802864681493,45.13350559862188,47.90802864681493,41.06672517489944,35.546817484307965
-2.0,17.960146827477715,36.21708627436155,0.6784771956275915,26.924978156960023,56.41688199827735,51.0487676979549,48.699585375047114,43.58311800172265,48.699585375047114,41.670930077618685,35.77254930935521
-1.92051,18.169900367068696,36.099902100390786,0.6784771956275915,26.45496668333602,57.10594315245478,52.04509701101206,49.830380701093105,42.89405684754522,49.830380701093105,41.7804549178954,35.65025962407165
-1.9,18.24855794441531,36.07938022303065,0.6784771956275915,26.31238453473008,57.36434108527132,52.281069743051916,50.0565397663023,42.63565891472868,50.0565397663023,41.8383628100007,35.627971499892446
-1.8,18.563188253801783,36.049468016523036,0.6784771956275915,25.8170640840629,58.39793281653747,53.329837441006816,51.11194873727855,41.60206718346253,51.11194873727855,42.107498450300184,35.59132470380527
-1.744244,18.694284216046146,35.903001822251944,0.6407840180927252,25.380342612163172,58.91472868217054,54.037755637126374,51.90350546551074,41.08527131782946,51.90350546551074,42.147535647166855,35.44065843316538
-1.7,18.904037755637127,36.02874830090875,0.6407840180927252,25.259572566779486,59.60378983634798,54.457262716308335,52.205050885789674,40.39621016365202,52.205050885789674,42.431681201563734,35.56283774765003
-1.6,19.140010487676978,36.014803865124435,0.603090840557859,24.862594022459326,60.46511627906977,55.427372836916625,53.22276667923106,39.53488372093023,53.22276667923106,42.66385515076455,35.543350699442456
-1.52984,19.27110644992134,35.87324417141453,0.603090840557859,24.470619400593662,60.89577950043066,56.030414263240694,53.90124387485865,39.10422049956934,53.90124387485865,42.68319945051216,35.39816743054476
-1.5,19.34976402726796,35.86989451249251,0.603090840557859,24.3527243387284,61.1541774332472,56.39748295752491,54.31586882774218,38.8458225667528,54.31586882774218,42.7534508859878,35.39316026708404
-1.4,19.585736759307814,35.79211313298274,0.5653976630229929,23.863972668373982,62.10163652024117,57.34137388568432,55.25819826611384,37.89836347975883,55.25819826611384,42.98280459430758,35.335271823934136
-1.34257,19.795490298898795,35.74475825459364,0.5653976630229929,23.494349032423727,62.96296296296296,58.02307288935501,55.86128910667169,37.03703703703704,55.86128910667169,43.228655997693345,35.33493321158549
-1.3,19.900367068694283,35.71885543134975,0.5653976630229929,23.306337962747065,63.30749354005168,58.46879916098584,56.35130041462495,36.69250645994832,56.35130041462495,43.30691575139937,35.306684635938446
-1.2,20.136339800734138,35.62073821209665,0.5277044854881267,22.788351127379055,64.25495262704565,59.49134766649187,57.406709385601204,35.745047372954346,57.406709385601204,43.521651877212356,35.228331577279036
-1.14529,20.29365495542737,35.64994846532677,0.5277044854881267,22.604185241898342,64.77174849267873,60.0419507079182,57.972107048624196,35.228251507321275,57.972107048624196,43.68796686728854,35.254454217132455
-1.1,20.450970110120608,35.682868118068136,0.5277044854881267,22.42535205514959,65.2885443583118,60.48767697954903,58.386732001507724,34.711455641688204,58.386732001507724,43.85694820673069,35.28430974609825
-1.0,20.76560041950708,35.61576144236169,0.5277044854881267,21.876560173828675,66.32213608957795,61.61510225485055,59.55522050508858,33.67786391042205,59.55522050508858,44.099348131703316,35.210232948553454
-0.964016,21.001573151546932,35.73228040113772,0.5277044854881267,21.704831304161058,67.09732988802756,62.03460933403251,59.81907274783264,32.90267011197244,59.81907274783264,44.40108059609431,35.32258087932101
-0.9,21.15888830624017,35.74073458303187,0.5277044854881267,21.490826121252745,67.70025839793281,62.58521237545884,60.34677723332077,32.299741602067186,60.34677723332077,44.595542259592776,35.35365580425676
-0.8,21.447299423177768,35.72359756100295,0.5277044854881267,21.051564680612604,68.64771748492679,63.71263765076036,61.55295891443649,31.352282515073213,61.55295891443649,44.84964108276969,35.330410521906856
-0.786276,21.525957000524382,35.725721736220066,0.5277044854881267,20.941538900091714,68.90611541774332,64.02726796014683,61.892197512250284,31.093884582256678,61.892197512250284,44.92382715891752,35.3309118553872
-0.7,21.761929732564237,35.593926581814706,0.5277044854881267,20.412829243513496,69.76744186046511,64.97115888830623,62.872220128156805,30.232558139534888,62.872220128156805,45.090135551989306,35.21921302859898
-0.627863,22.024121657052962,35.47074664685091,0.5277044854881267,19.85881180214451,70.71490094745909,66.01992658626115,63.965322276667926,29.285099052540914,63.965322276667926,45.2868563748018,35.115638545738875
-0.6,22.1814368117462,35.48710409267528,0.4900113079532605,19.618475314535814,71.31782945736434,66.46565285789198,64.34225405201659,28.68217054263566,64.34225405201659,45.46815238595008,35.12828155738437
-0.5,22.548505506030413,35.34400156610666,0.4900113079532605,18.885044090889863,72.60981912144703,67.85527005768222,65.7745947983415,27.390180878552968,65.7745947983415,45.74743160616845,35.00247660005701
-0.49196,22.60094389092816,35.352344036431305,0.4900113079532605,18.821651019581225,72.78208440999138,68.01258521237546,65.92536750848096,27.217915590008616,65.92536750848096,45.801867714786304,35.00978103670427
-0.4,23.12532773990561,35.54988494220535,0.4900113079532605,18.35177578951045,74.50473729543496,69.29732564237021,67.01846965699208,25.495262704565036,67.01846965699208,46.42825654247271,35.197664241287804
-0.337586,23.308862087047718,35.53850437497791,0.4900113079532605,18.07156264084649,75.1937984496124,70.03146303093865,67.77233320768941,24.8062015503876,67.77233320768941,46.63268054522945,35.20823338347626
-0.3,23.544834819087573,35.658546814416376,0.4900113079532605,17.904899189666068,75.96899224806202,70.60828526481384,68.26234451564267,24.031007751937977,68.26234451564267,46.936945718864045,35.32412710718485
-0.201258,23.859465128474042,35.62049843665936,0.4900113079532605,17.397882034458647,77.08871662360035,72.02412165705296,69.80776479457218,22.911283376399652,69.80776479457218,47.2432993290295,35.30513241120116
-0.2,23.859465128474042,35.62049843665936,0.4900113079532605,17.397882034458647,77.08871662360035,72.05034084950184,69.84545797210704,22.911283376399652,69.84545797210704,47.2432993290295,35.30513241120116
-0.1,24.278972207656004,35.48947023136754,0.45231813041839425,16.56872953729205,78.72523686477174,73.7021499737808,71.50395778364116,21.274763135228255,71.50395778364116,47.6469832010319,35.21568173553596
-0.086488,24.383848977451496,35.54877554762094,0.45231813041839425,16.50321520491002,79.06976744186046,74.01678028316728,71.8055032039201,20.930232558139537,71.8055032039201,47.78649132338524,35.27318087599515
0.0,24.698479286837966,35.4838276057522,0.45231813041839425,15.95752675776061,80.10335917312662,75.45883586785527,73.42630983791933,19.89664082687338,73.42630983791933,48.03044296544361,35.20127648237041
0.045652,24.855794441531202,35.502793336626,0.4146249528835281,15.720939987143455,80.70628768303187,76.0094389092816,73.95401432340746,19.293712316968126,73.95401432340746,48.21361383508766,35.21654429590998
0.1,25.065547981122183,35.465378387344664,0.4146249528835281,15.365606170121579,81.3953488372093,76.63869952805453,74.55710516396532,18.604651162790702,74.55710516396532,48.38047750366544,35.17452897024789
0.195255,25.432616675406397,35.35518074686385,0.4146249528835281,14.679479596132209,82.6012058570198,78.0020975353959,75.98944591029024,17.398794142980194,75.98944591029024,48.64034272657601,35.05599747439849
0.2,25.45883586785527,35.366667250222406,0.4146249528835281,14.658299620184044,82.68733850129199,78.1069743051914,76.10252544289483,17.31266149870801,76.10252544289483,48.672819060738014,35.067011284516425
0.3,25.878342947037233,35.44509845044619,0.4146249528835281,14.167962868451477,84.06546080964685,79.23439958049292,77.12024123633623,15.93453919035315,77.12024123633623,49.11671183904917,35.13721225081009
0.374193,26.114315679077084,35.400753721428444,0.4146249528835281,13.764973499256723,84.84065460809647,79.99475616151022,77.87410478703354,15.159345391903528,77.87410478703354,49.3028140536766,35.08767783190865
0.4,26.140534871525958,35.31404506789978,0.4146249528835281,13.602626418759804,84.92678725236864,80.17829050865234,78.10026385224275,15.07321274763136,78.10026385224275,49.264706835564226,34.99987466884245
0.5,26.428945988463557,35.250007900741146,0.4146249528835281,13.095940495072277,85.87424633936261,81.12218143681174,79.0425932906144,14.125753660637386,79.0425932906144,49.48509341721744,34.929432248359376
0.595837,26.691137912952282,35.15807644361333,0.3769317753486619,12.549153243852706,86.82170542635659,82.01363398007341,79.90953637391632,13.178294573643413,79.90953637391632,49.685429335104644,34.83091889860387
0.6,26.691137912952282,35.14059698198074,0.3769317753486619,12.52402445882946,86.82170542635659,82.06607236497116,79.98492272898605,13.178294573643413,79.98492272898605,49.67286494259302,34.8133287490876
0.7,26.87467226009439,34.98034800749069,0.33923859781379573,11.992102261805313,87.51076658053402,82.87886733088621,80.85186581228798,12.489233419465975,80.85186581228798,49.75143442116967,34.64770155742392
0.8,27.215521761929732,34.94571872654752,0.3015454202789295,11.414614105937519,88.71662360034453,83.87519664394337,81.75650207312476,11.283376399655467,81.75650207312476,50.065618853141025,34.60521695425962
0.813543,27.267960146827477,34.98177011616472,0.3015454202789295,11.391055869978228,88.88888888888889,84.00629260618773,81.86958160572937,11.111111111111114,81.86958160572937,50.13997237943356,34.64040577565142
0.9,27.661248033560565,34.722163172664644,0.3015454202789295,10.452442646265713,90.18087855297158,85.50078657577346,83.45269506219374,9.819121447028422,83.45269506219374,50.31666059961864,34.37097341827747
0.935661,27.79234399580493,34.615421005777925,0.3015454202789295,10.110522320405959,90.61154177433247,85.99895123230205,83.98039954768187,9.388458225667534,83.98039954768187,50.361032047369214,34.26082815658391
1.0,27.949659150498164,34.40496686542015,0.3015454202789295,9.581810638790968,91.12833763996555,86.73308862087048,84.80964945344893,8.871662360034449,84.80964945344893,50.35507413937826,34.04576873914334
1.1,28.133193497640274,34.15136349020599,0.3015454202789295,8.953373671935784,91.7312661498708,87.65076035658102,85.86505842442519,8.268733850129195,85.86505842442519,50.34231991090329,33.786741415316285
1.118782,28.159412690089145,34.02207033390706,0.3015454202789295,8.729806352627794,91.81739879414297,87.99160985841637,86.31737655484358,8.182601205857026,86.31737655484358,50.27360257338538,33.65608408508235
1.2,28.395385422129,33.76518764508482,0.3015454202789295,8.021268631117039,92.5925925925926,89.11903513371789,87.59894459102902,7.407407407407405,87.59894459102902,50.30693061185482,33.3926658195597
1.274077,28.578919769271106,33.60616728816655,0.2638522427440633,7.491112716572656,93.28165374677003,89.98426848453067,88.54127402940068,6.718346253229967,88.54127402940068,50.386383231671346,33.228275025631866
1.3,28.657577346617725,33.517089467974266,0.2638522427440633,7.2499733248601075,93.54005167958657,90.35133717881489,88.95589898228421,6.459948320413432,88.95589898228421,50.39501250222334,33.13699683127804
1.4,28.893550078657576,33.237254904718334,0.22615906520919712,6.470746402787691,94.40137812230836,91.4787624541164,90.1997738409348,5.598621877691642,90.1997738409348,50.43606226254803,32.849935918643894
1.451436,29.02464604090194,33.14278635980407,0.22615906520919712,6.146470854237736,94.83204134366925,92.00314630309387,90.76517150395779,5.167958656330754,90.76517150395779,50.48925609895349,32.752142001067185
1.5,29.103303618248557,33.01425389186415,0.15077271013946475,5.7732244039087375,95.26270456503015,92.55374934452018,91.36826234451564,4.737295434969852,91.36826234451564,50.517964484469445,32.62006845224516
1.6,29.260618772941793,32.672210714496195,0.15077271013946475,5.055337981563696,95.77950043066322,93.52385946512847,92.53675084809649,4.220499569336781,92.53675084809649,50.41741920611346,32.27258671629355
1.656905,29.33927635028841,32.49104808251705,0.15077271013946475,4.681815826128918,96.03789836347975,93.99580492920818,93.10214851111948,3.962101636520245,93.10214851111948,50.35985709480433,32.08864058733417
1.7,29.365495542737285,32.27827217714047,0.15077271013946475,4.3382322214903,96.12403100775194,94.44153120083901,93.70523935167735,3.875968992248062,93.70523935167735,50.23113161462112,31.87397185736879
1.8,29.52281069743052,32.01660489799783,0.11307953260459856,3.6982024428811666,96.72695951765719,95.30676455165181,94.68526196758387,3.2730404823428074,94.68526196758387,50.21258098026918,31.606829565313973
1.863114,29.65390665967488,31.787445667018684,0.07538635506973237,3.1425999902032613,97.24375538329026,95.9884635553225,95.43912551828119,2.7562446167097363,95.43912551828119,50.193177686746765,31.37294660812936
1.9,29.70634504457263,31.602878442598282,0.07538635506973237,2.801876509638092,97.41602067183463,96.43418982695333,96.00452318130418,2.58397932816537,96.00452318130418,50.10894859073636,31.18611975829705
2.0,29.968536969061354,31.4358588164065,0.07538635506973237,2.184834348199923,98.27734711455642,97.35186156266387,96.94685261967584,1.7226528854435799,96.94685261967584,50.231090731378174,31.01258817810687
2.08222,30.099632931305717,31.199283655651076,0.07538635506973237,1.6562638004723722,98.70801033591731,97.98112218143682,97.6630229928383,1.291989664082692,97.6630229928383,50.18213706819484,30.77178776110585
2.5,30.361824855794442,30.58605948616436,0.0,0.3223636940184245,99.74160206718346,99.63293130571579,99.58537504711647,0.25839793281653556,99.58537504711647,50.03198288060094,30.148135205967936
3.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
3.5,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
4.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
4.5,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
5.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
5.5,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
6.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
6.5,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
7.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
7.5,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
8.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
8.5,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
9.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
9.5,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
10.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,0.0,100.0,50.0,30.0
